,0,1
101,the widening stream,1
102,we build a climber,1
103,alun yr arth ar y mor,1
104,fard and nuns at luncheon,1
105,primer of the obsolete,1
106,the racketeer,1
107,metoprolol hardheartedness intuition courage,0
108,delichon in to plus,0
109,the works of algernon charles swinburne,1
110,reformable improvable artistically corrigible housemaster amendable,0
111,topos lassie theme,0
112,senhor tailpipe fluoridization,0
113,pearl,1
114,octopodidae djinn eblis of with genie of,0
115,framed,1
116,imipramine to protriptyline tricyclic,0
117,philippines abdomen hypochondrium,0
118,the song of the pongo,1
119,lilliput to lynchpin to pintle,0
120,negligible worthless to nefariousness to immodesty,0
121,sociologist demographer psephologist daringly,0
122,arizonan lesbianism from,0
123,heterometaboly revision anticlimax conclusion assumption thesis dissertation,0
124,minnesota among sardius but chalcedony by during carnelian plasma person,0
125,backspace in type font,0
126,the goofy goony guy,1
127,inured without habituate girlishly,0
128,brutality,1
129,rubicon international series bundle,1
130,willpower keyed accommodate in,0
131,calf unscrew disentangle,0
132,a head with wings,1
133,child of slaughter,1
134,bright shiny things,1
135,segovia mastoidale thinker,0
136,totalise benevolently with,0
137,on dangerous ground,1
138,rangers unite,1
139,dish liquor liquid,0
140,coloured lights,1
141,wordsworth,1
142,styx,1
143,raising hope,1
144,bedimmed relation dealings,0
145,player piano,1
146,digging for dinosaurs,1
147,a gaggle of geese,1
148,dirtiness feculence smuttiness,0
149,smaller and smaller circles,1
150,management,1
151,gearshift blow shape of column character recommendation,0
152,perambulate skywalk es,0
153,the buried,1
154,close quarters,1
155,blimpish conglobe conservative,0
156,the vintage teacup club,1
157,the parasol protectorate,1
158,greeks bearing gifts,1
159,animus war at,0
160,wheezy unflavored of,0
161,credibly through on thallophyte,0
162,seediness to inelegance roughness,0
163,trespass,1
164,theodicy,1
165,scorpionida inborn thistledown,0
166,the boats on the river,1
167,suddenness karok anesthetize reservoir pigment,0
168,renovation reform tour larva about bot over in,0
169,rasher bold font,0
170,the word exchange,1
171,disinherited for spinner loveless,0
172,correctable in torso,0
173,brinjal eggplant of,0
174,palaeontology of past buoy can about of to for,0
175,poe,1
176,i chose a parson,1
177,the emigrant,1
178,highlighting sphere direct configuration insensitivity,0
179,hack and whack,1
180,the scallywag,1
181,suprainfection vaccinia chancre,0
182,the secret of the lost necklace and other stories,1
183,guerilla vertebrate barge mainly telpher quitclaim transfer,0
184,highland song,1
185,haymaker acquisition of,0
186,lifter athlete winger sharpshooter glass,0
187,specimen collection fauna jugglery of,0
188,buntal from talipot on,0
189,plane geometry and other affairs of the heart,1
190,the case of the yodeling turtles,1
191,interdict command about knot of,0
192,voracious,1
193,etymologizing reconstruct about repeat bend deflection,0
194,vetch bias between of miracle to,0
195,phone telecommunicate of,0
196,diminuendo decreasing softness,0
197,the given sacrifice,1
198,rhyme,1
199,unmodifiable breastless on confrontational of in to,0
200,curvature almandite garnet andradite mineral,0
201,the quiche and the dead,1
202,the excursion,1
203,unrealistic to of,0
204,unremedied to to unpunished uncorrected observed dragee neve to in fractionation,0
205,cabombaceae pronounce for for unarticulated,0
206,the elegant gathering of white snows,1
207,novels and stories,1
208,elapidae amnion decarbonize enforce,0
209,rhinolophidae mawlamyine pamlico,0
210,offish with unapproachable unavailable inaccessible,0
211,the wilderness hut,1
212,alien in the house,1
213,neoplatonist wats cox,0
214,mri groove straight deviltry,0
215,shoddily dicker intercede negociate,0
216,intercellular dodgem photovoltaic inheritor in academician schoolteacher,0
217,flowery cloudy illegible to to dirty to mire,0
218,laugh track,1
219,karyolysis convalescence shape on,0
220,ostracoda capable sensualise out,0
221,transiently from of,0
222,courageous for supporter subsequent,0
223,vireonidae bacteroidaceae pleasant beautiful,0
224,microserfs,1
225,the submission,1
226,old friends are the best,1
227,contusions,1
228,dead of spring,1
229,the haunted house,1
230,terminative sermon of of of to address,0
231,disturbing for to headsman deep esoteric,0
232,cynosure guidance steering,0
233,deadbolt,1
234,jument bureaucratically addle,0
235,speculation up contemplation of,0
236,esquire of attendant,0
237,the best summer,1
238,the journey home,1
239,blackhead over graze,0
240,rhamnus to score,0
241,great gadgets,1
242,toyohashi kettle in teakettle,0
243,seymour the prince,1
244,the anteroom,1
245,underworld isolate in classify,0
246,heraldry for charge evaluate,0
247,cul reaction push of measure container without,0
248,the billionaire of bluebonnet,1
249,the methuselah factor,1
250,vulcanised achieve out,0
251,hermeneutics of elder on banksia in,0
252,the other woman,1
253,obligingly to swot draft,0
254,expertness enlightenment happiness condition in since to,0
255,limited edition,1
256,the whole voyald and other stories,1
257,telosporidia belief imprint influence mishap misfortune in happening chance melt termes,0
258,stories of the confederate south,1
259,brasilia down ordain,0
260,kitchener chaps,1
261,american apocalypse wastelands,1
262,amarelle of wrongdoing evil bad irresponsible with out unreliable hazardous disorder,0
263,kacy and the space shuttle secret,1
264,finitely booth stop press,0
265,letters from a honkey tonker,1
266,stupefied pierce lance snappishly sling,0
267,mustang,1
268,treasury of christmas stories,1
269,ghb augmented increase inclusion bowl,0
270,denseness pyle to,0
271,vibes air of change to,0
272,science fair flop,1
273,anglophile supporter sensation arousal dandle caress,0
274,beyond brightness,1
275,eternity to harvest,0
276,my half day,1
277,super oscar,1
278,workwear jean along about,0
279,the works of virgil,1
280,halaka static quality,0
281,feminine into womanly,0
282,quick,1
283,thermohydrometric like to finable to,0
284,the dancing floor,1
285,vitrified since sugar,0
286,puerperal eclampsia,1
287,buccaneer,1
288,attack decorate to of by,0
289,namoi for inset jacket skin,0
290,black,1
291,cupronickel but vanadinite,0
292,the wind is not a river,1
293,camponotus chew stethoscope,0
294,sikander,1
295,adventive extraneous egypt,0
296,pulchritude curvaceousness from beauty,0
297,the eternal footman,1
298,slow death at geneva,1
299,the controversial stool,1
300,rattlesnake crepitate tail,0
301,brahe stale addled,0
302,overleap vault to to of recess,0
303,smartness competence by,0
304,equisetaceae in anopheles,0
305,teakwood cypress galbulus cone bevel to,0
306,hall of fame,1
307,snitch,1
308,expansivity leanness skinniness upon,0
309,balas de plata,1
310,spy,1
311,octangular etcetera eat deletion,0
312,sommelier duplex double,0
313,confessedly in raptor,0
314,tinning about piranga,0
315,bandaging the blitz,1
316,capsella preparative to,0
317,the speckled bird,1
318,the original adventures of hank the cowdog,1
319,the silver fox,1
320,inventory support at,0
321,the bogey hole,1
322,delorme of icosahedral revived,0
323,juggernaut,1
324,chachka woman womankind,0
325,horticulture in landscaping,0
326,glasswork glassware to of bin,0
327,swayback unfit gradient,0
328,invisibleness inconspicuousness invisibility unnoticeableness,0
329,emulsify change appear yggdrasil,0
330,terrarium but schmoose aquarium entourage compartment molecule to,0
331,surroundings liquid gruff cacophonous raucous disorderly,0
332,gong for handbell of to,0
333,belize secret service sarin project,1
334,alsoomse and wanchese,1
335,the sisters of theta phi kappa,1
336,chelidonium in layover for quality between register,0
337,antony and cleopatra,1
338,the torturous scheme,1
339,splenetic archbishopric out hallucinating venue,0
340,submersed chute to,0
341,death count,1
342,solo books,1
343,tragelaphus intimal aristarchus awry,0
344,erato eagerly hormone of,0
345,picador bullfighter from,0
346,blind expectations,1
347,indispensableness essentiality importance,0
348,absent friends,1
349,infamy,1
350,standardise on to gauge,0
351,the pull,1
352,anthurium plant foundation satinleaf lenience on on,0
353,fascinating wild animals,1
354,sons and lovers,1
355,kenning capoten trope to,0
356,swietinia vulcanised process supererogation capability,0
357,the port of london murders,1
358,thomas the tank engine,1
359,specifiable diagnosable identifiable perceptible,0
360,campanulate placental of into,0
361,fixing cars,1
362,the temptation of saint anthony,1
363,the darkness,1
364,siddhartha,1
365,the hardest fall,1
366,vaunt at puff,0
367,peg passenger to thing ringmaster roumania aborigine of,0
368,exultation joy austereness with,0
369,stockholm delete,1
370,speedboat ride winepress climb slope on urgency,0
371,restoration in geometric symbolism,1
372,illustrated saudi folklore,1
373,slaked regatta to,0
374,things without a name,1
375,previously knead masticate,0
376,the big book of vice,1
377,orient,1
378,mixology bravura like virtuosity,0
379,smile if you meet a crocodile,1
380,arcanum information interest,0
381,drifting with for for,0
382,lords of dyscrasia,1
383,attractively to midsection,0
384,final solution,1
385,the tin drum,1
386,holmium harrison fergusonite out pyrophyllite mineral for,0
387,invest endow cover,0
388,amide of to acrylamide endorphin epinephrine,0
389,yellowstone fallout,1
390,bake sale,1
391,cumulation in woodpile,0
392,deliverer finn thermohydrometer,0
393,parks put evaluate of reassess container velleity,0
394,the darker road,1
395,serzone antidepressant nontricyclic of nefazodone,0
396,death in the dorm,1
397,potamophis abnormality retroversion stay,0
398,american soma,1
399,liparis by orchid diclinous oncidium pogonia undertake,0
400,bavarian overture,1
401,soporiferous depressant soporific,0
402,avalanche,1
403,excessive force,1
404,sunfish of crappie,0
405,legends of the rhine and of the low countries,1
406,the pet shop revolution,1
407,revolver pistol in,0
408,of unsound mind,1
409,the sleeping doll,1
410,biosystematics kirkia discipline copulate,0
411,like a hole in the head,1
412,ahuehuete decentralised from,0
413,boardwalk to eyelet anterior,0
414,terpene hydrocarbon intrinsic to of naphthalene,0
415,symmetry stratification during,0
416,silver womb,1
417,incontrovertible undeniable of affaire incontestable unassailable invulnerable entrenched trespass wicked,0
418,feria with by affair excommunication with ritual,0
419,chincapin huckster seller of,0
420,heavy across thick,0
421,the copy crocs,1
422,the grey pilgrim,1
423,the marshal,1
424,northwestern direction focus sharpen for for edge against of,0
425,jibboom argue expostulate defend,0
426,the patrioteer,1
427,arthropoda flameproof dog,0
428,jimdandy thing work to,0
429,klimt rolling look,0
430,the saga of tanya the evil,1
431,the bleeder,1
432,ampullar wisdom at to with,0
433,paroxysm attack to heterodox,0
434,gain and loss,1
435,normy dormy again,1
436,celestial capers,1
437,chaise calash with bridge,0
438,the book of jamaica,1
439,etiologic process calculate suspect litigant for,0
440,pungency wit of transfer evidently,0
441,parchisi dementedly fancywork improvement before handicraft hem,0
442,intersperse bag leverage of,0
443,just so stories for little children,1
444,emotional overload,1
445,euglenid alga diatom plankton to zooplankton,0
446,if i was a caterpillar,1
447,studying is hard,1
448,recycling george,1
449,calculus analysis theorize,0
450,synaptomys of into,0
451,amply rewarded,1
452,utility village but,0
453,generals die in bed,1
454,tetralogy serial minute in adjust taste perceive investigation inquest of,0
455,death in the stocks,1
456,some observations upon fifty cases of subacute bacterial endocarditis,1
457,plaice inverse into glide to parasailing around palatal satiated,0
458,hhs out physics harmonics,0
459,mesophyron developer modeler,0
460,toller employee potboy floater clericalism,0
461,cafeteria amenability of manageability,0
462,calpe ringlike tuxedo indapamide,0
463,smooch with without,0
464,death in ecstasy,1
465,uricosuric maneuver of idle,0
466,factotum servant subservience,0
467,the protectors,1
468,vitalization to write chicanery plaguy decompose haven headless acephalous,0
469,orthostatic erect uncontrolled to,0
470,cert within inevitability,0
471,the attack of the aqua apes,1
472,wailing ghosts,1
473,hillary near womanish,0
474,instant fire,1
475,shindy set placement proportionate,0
476,scours das in of proboscidean to mastodon from proboscis,0
477,hemosiderin pilus counterargument argumentation conference to action coerce,0
478,selected short stories,1
479,nantua for by weaver around of,0
480,in the stone house,1
481,onlooker through spectator rubberneck,0
482,frustrative taunt pump,0
483,breast cancer in families,1
484,brutally add count landgrave glassful,0
485,eastwards hematocolpometra disorder,0
486,hidrosis of of,0
487,bollywood deception,1
488,poor fool,1
489,all about fabric printing,1
490,helen,1
491,dormie one,1
492,june bugg,1
493,cheyenne swings a wide loop,1
494,pinyon in with wood,0
495,sas hassock of,0
496,the magic image from india,1
497,bottleneck,1
498,priscoan in leech,0
499,magnoliophyta to blemished almoravid but,0
500,diastole for pulse,0
501,spare parts,1
502,the turning,1
503,rat,1
504,walled in,1
505,undiagnosable elusive to canine concessive for,0
506,warlord,1
507,pomatum on brilliantine pomade mousse of,0
508,anklebone like pastern quantity,0
509,brotherly up moderatism opportunist,0
510,royal yankee,1
511,unthinkable,1
512,steppe,1
513,nil by mouth,1
514,tawny scrawny lion saves the day,1
515,unmalicious scriber awl,0
516,intrinsical internal to crimson,0
517,the time before this,1
518,breeding ground,1
519,cathexis cyclopia abnormality unfamiliarity,0
520,gherkin cucumber parisian,0
521,gunfight at eagle springs,1
522,dispirit of of depress,0
523,sulkily of writing,0
524,on the run,1
525,chirico schoolmistress schoolteacher,0
526,the cambridge murders,1
527,commendable worthy desirable delectable in heavenly unclassified,0
528,silent in the sanctuary,1
529,a torrent of faces,1
530,evil brain chips,1
531,offal to of,0
532,bareheaded from of through,0
533,always arthur,1
534,identity,1
535,four friends at christmas,1
536,theodore and the whale,1
537,recode rearrange gonorrhea,0
538,amnesia,1
539,the sinking of captain otter,1
540,rosabelle shaw,1
541,euderma gauge standard regular lax to floppy at to derelict pauper,0
542,turbine to criminal of,0
543,marquess tonicity of of,0
544,the troubler,1
545,impervious,1
546,a beautiful life,1
547,onset bombing up examen,0
548,formulation following composer,0
549,chainsaw terror,1
550,holiday stories,1
551,isosmotic lycopodiaceae slave bondman play,0
552,the oaken door,1
553,mystical to cuttlefish,0
554,embolus to stump,0
555,hypothetic abstract steal in song in,0
556,stodgily abstractness immateriality irrelevance inapplicability unconnectedness unrelatedness relation,0
557,duty or desire,1
558,identification of petroleum products in water,1
559,hushed,1
560,slapstick scab demon succubus ethnographical annoy of,0
561,confabulario and other inventions,1
562,this way up,1
563,celluloid mildness out mercifulness forgiveness into to,0
564,whydah professional adult on sexy,0
565,earthball mandate for fungus pythium mildew,0
566,initiatory ceremony grouping with,0
567,ancona,1
568,aerophilous to of interruption givenness respite,0
569,the killer next door,1
570,pereskia of defend between,0
571,the awakening,1
572,framboesia by with strange unfamiliar,0
573,the one marvelous thing,1
574,the mentor,1
575,applesauce,1
576,fearfulness apprehension by,0
577,river of stones,1
578,prostration to from between motion,0
579,my theodosia,1
580,a very small rebellion,1
581,the itsy bitsy spider,1
582,lallans bot to,0
583,machine man,1
584,wartlike to trying,0
585,runner at like smuggler in,0
586,the pudding,1
587,house of all nations,1
588,she blinded me with science,1
589,fever feeling hunt of like,0
590,madmen must,1
591,the judgment,1
592,voices airy,1
593,superfund despite mucopolysaccharidosis chincapin,0
594,the disastrous voyage of the santa margarita,1
595,lakeshore christmas,1
596,subroutine program compiler,0
597,festivity festival rehearsal,0
598,flash,1
599,rarity magyar conscious,0
600,the huntress,1
601,masturbate esteemed join,0
602,sundowner souse intemperance,0
603,fruitful bodies,1
604,floxuridine antineoplastic hunched,0
605,the mule who refused to budge,1
606,on with torchy,1
607,the islands of the blessed,1
608,gone fishing,1
609,time of the butcherbird,1
610,her brooding italian boss,1
611,five spice street,1
612,mayidism malnutrition pellagra of for of,0
613,chicken mine wu tearfulness,0
614,palpitate kill be inutile in,0
615,the chest of drawers,1
616,one rough man,1
617,newel gathering stretch but,0
618,my torturess,1
619,vernal promises,1
620,diacritic out marker symbol crossbones,0
621,cutely sincerely romanticize,0
622,bottoms away,1
623,ferry appendicle have on leave,0
624,under the radar,1
625,thank you bear,1
626,washday disconnect change purify purge spiritualize,0
627,the crooked house,1
628,recent information on salmon stocks in british columbia,1
629,bimorphemic depolarization of hitherto thing,0
630,ghanese channidae paynim atheistic inconvenience,0
631,the tenth man,1
632,cagney of compound put,0
633,gingersnap,1
634,the bus ride,1
635,ictodosauria to basics rudiment,0
636,ankylosis with to,0
637,unclean untouchable but inadmissible truster,0
638,proteinuria symptom over indication statistic in,0
639,rage sleep,1
640,tolerant excused osborne through on to in,0
641,a dream to cling to,1
642,the white gryphon,1
643,saucy of lively spirited,0
644,pyx to receptacle pursue underhand,0
645,tightfistedness malevolence cedarwood,0
646,the lotus cup,1
647,ulna of at,0
648,an echo in the darkness,1
649,the heart of the country,1
650,hymenogastrales stool carry in,0
651,stated allocate wait,0
652,west of railhead,1
653,zosteraceae doorway to without montagu of,0
654,the cloud,1
655,stuck rubber baby,1
656,fins are forever,1
657,the bourne legacy,1
658,told under the magic umbrella,1
659,the lemon,1
660,forgetful of negligent,0
661,ring of gold,1
662,toast,1
663,maturely of heliometer,0
664,the unmourned,1
665,unlucky,1
666,realtime interrupt,1
667,a spell for the fulfillment of desire,1
668,assentient affirmative flatterer by chase,0
669,the manners of a pig,1
670,the liberator,1
671,voider for position wing suburb,0
672,the quick and the dead,1
673,halocarpus privation for in to,0
674,beloved crusader,1
675,acrobat,1
676,hornstone jiggered decorate dell hollow,0
677,dourly tramp junketeer,0
678,photojournalist educated housebreak,0
679,breaking windows,1
680,reputedly coleridgean eightpence,0
681,cradlesong oldie dexterity,0
682,apothecial for scissors recipient,0
683,off grid,1
684,accomplishment exit for to opening,0
685,live and let growl,1
686,decumaria to from,0
687,more than honor,1
688,a disentanglement,1
689,gothic strange foreign of external for extraneous irrelevant,0
690,the bamboo flute,1
691,hyperkalemia areflexia up to but,0
692,the cabinet,1
693,janissary follower tail,0
694,snivel snuffle from vaporization,0
695,illicit night with the greek,1
696,the discreet adventure,1
697,dreamland,1
698,rehearing smell express,0
699,a manual of carpentry and joinery,1
700,jumping to conclusions,1
701,antipollution of crenate rough in,0
702,alarm at black brake,1
703,bungee make form,0
704,no easy way out,1
705,canned,1
706,the pets,1
707,samuel,1
708,orangewood underbrush groundcover to move stalemate position in verse familiarize bandwagon,0
709,peter and the wolf,1
710,rollback sterna fall drop to descent piedmont descend begin scottie,0
711,basso at singer epacridaceae,0
712,the tales of adam,1
713,high voltage,1
714,sibyl distraint seizure with between,0
715,unsuited,1
716,carpal above undignified contemptible,0
717,lucy and the big bad wolf,1
718,osteolysis thrombolysis convalescence,0
719,shebat from along sphaerocarpaceae book constraint,0
720,solvay of of travel,0
721,mordacity on of,0
722,dial concerning face racket,0
723,y no se lo trago la tierra,1
724,quits,1
725,bunche addible for,0
726,hooked,1
727,epitaph to to on in memorial liberalist,0
728,dido,1
729,joy,1
730,a loyal character dancer,1
731,madder redden through vermilion,0
732,the cheating curve,1
733,reincarnation like with justice administration sedation to bismarck swarm at overprice,0
734,flutist virtuoso skilled hot claim,0
735,best of contemporary mexican fiction,1
736,birmingham gardner lumbosacral anisometropic utile serviceable recommit with,0
737,totalisator to specimen,0
738,coccidae sandboy incredulity of,0
739,dream peddler,1
740,the spa,1
741,riming alliterative rhymed consonance allogamous fingerless,0
742,vulgate in nonconformist,0
743,parabolical rounded aspheric plumlike,0
744,namibia trill for preventable,0
745,the wild kid,1
746,the eyewitness,1
747,bimester cover sodomize with switch,0
748,hisser broadcaster of in in,0
749,the magic school bus builds the statue of liberty,1
750,speed track,1
751,the alpinist,1
752,getting over it,1
753,the girl with pinhead parents,1
754,waft thorn valid legitimate,0
755,the discordant note,1
756,keftab of cephalosporin,0
757,betrayer informer in fink admit profess within in,0
758,edgewater,1
759,aphis fatigued near dermatosis to to,0
760,culprit,1
761,distributer stockist supplier,0
762,pug on airship of cell room,0
763,lawlessly on mining,0
764,a sleep and a forgetting,1
765,slammer,1
766,counteractive out at layoff to for,0
767,dexterous adroit of tense,0
768,incorrigible uncontrollable abundant to among of,0
769,breach,1
770,conessi thwarting hindrance,0
771,bridecake to lino at impenitence stubbornness resoluteness about,0
772,copycat leptotyphlops bhakti commitment,0
773,the beneficiary,1
774,northwest direction sandwich,0
775,the miniaturist,1
776,fraudulence to at,0
777,firepower babel confusion,0
778,carolinas of rise,0
779,a raindrop,1
780,betrothal including wittgensteinian,0
781,target,1
782,pinworm nematode hookworm trichina at,0
783,love,1
784,dramaturgic caloosahatchee of to maratha koran underlay from magnitude,0
785,arteriolosclerosis to iconoscope,0
786,translatable in commutable,0
787,beat the cross,1
788,too many temples,1
789,lightning flower,1
790,wisp opulent holstein tuft polymerisation,0
791,scared stiff,1
792,the diary of the attending rays,1
793,wanted by the gestapo,1
794,mist for omicron jet blow from to spend,0
795,nudibranchia,1
796,lost in space,1
797,of eternal life,1
798,before watchman with,0
799,tradesman shopkeeper on,0
800,angiocardiogram to off in,0
801,workings splenitis smell fervent,0
802,mindset of affectation,0
803,pesterer bore spring of summer spend overspend photoblepharon soldier person,0
804,the alhambra,1
805,resolutely about ascii of,0
806,powwow time,1
807,dough knights and dragons,1
808,the corner that held them,1
809,tv overpass with,0
810,asbaran solutions,1
811,inflame worsen impose,0
812,cloth of heaven,1
813,counterchange but paradise following,0
814,glissando decide capability reactivity on feelings look,0
815,a lei for tutu,1
816,the red raincoat,1
817,chasing midnight,1
818,i thought i was dreaming,1
819,extermination natta holocaust destruction,0
820,thickening join with through node,0
821,corrupting cinderella,1
822,the smasher,1
823,somesthesia kinanesthesia adeptness henna,0
824,trainband soldier jawan spend,0
825,theodore and the talking mushroom,1
826,practice but of out care,0
827,the subway murder,1
828,spindrift with of,0
829,effaceable to of in exterminable to eradicable,0
830,taking care of mama,1
831,reformism doctrine irredentism dynamism,0
832,tularemia of zoonosis antiphonary,0
833,the giraffe numbers book,1
834,mother of all loves,1
835,splenitis inflammation bigarade in discussion bataan postmortem,0
836,patsy ledgeman torso aisle reptile,0
837,balloon magic,1
838,the sorrows of young werther,1
839,after the banquet,1
840,soaring about to to,0
841,sinful out unrighteous to immoderate,0
842,nne with mmpi of tune up,0
843,north to prosperity,1
844,the golden apples,1
845,stachys to calligraph at,0
846,simian primate about but but anagnost clergyman,0
847,biography,1
848,lunchtime helpers,1
849,a spinner in the sun,1
850,nevermore to fetometry measurement treadle politic,0
851,the magic christian,1
852,animal crackers,1
853,the paddle,1
854,ships and men,1
855,the benefactress,1
856,endamoeba to crusade,0
857,thieve saipan by from steal to,0
858,passion play,1
859,the magician of samarkand,1
860,ordering cog of,0
861,the decameron of giovanni boccaccio,1
862,wheels,1
863,heartburning of resentment at fallopius respect succeeding,0
864,dickhead for beta,0
865,duty and deception,1
866,madame squidley and beanie,1
867,cohn take react approve of spellbinding of support,0
868,awake,1
869,scarred to of from,0
870,visibly moharram sweepstakes of lottery,0
871,on assignment to bahrein,1
872,flashman in the peninsular,1
873,flapper girl lover between uninteresting of mistress,0
874,seismography restriction stipulation from by in pelecypod oyster,0
875,milliequivalent greenskeeper custodian,0
876,last instructions,1
877,babyish immature between,0
878,uneventful sacajawea unitization,0
879,pantropic joyous gay cheerful uninvolved,0
880,the pesthouse,1
881,bashful moderate coquettish,0
882,estazolam benzodiazepine to midazolam temazepam,0
883,woody,1
884,priceless worthy eligible bailable of,0
885,prosopopoeia trope oxymoron in in,0
886,alanine irregular handle broom of,0
887,a marsh island,1
888,melanoderma deposition inheritance under,0
889,frozen,1
890,the fling,1
891,the long rowing unto morning,1
892,puddingwife woodwind to,0
893,anomy put before,0
894,pentecostal by illogic illogicality,0
895,tollman porter to of,0
896,colorist for to for wildcat unconfirmed unaccredited,0
897,the complete fairy tales and stories,1
898,many engagements,1
899,prisoners of tomorrow,1
900,the disinherited,1
901,bovinae digit of to in eightieth ordinal,0
902,realty exophthalmos hemoptysis,0
903,objects for deployment,1
904,the kingdom within,1
905,uninsurability writing of,0
906,son of the black sword,1
907,nuthatch hairy alarming,0
908,commitments,1
909,the adventures of paul pry,1
910,secondary consume spend with,0
911,photometrical sabbatic viscerally state,0
912,lecherous of in,0
913,resinoid group brigade bemusement,0
914,mocha pleasures,1
915,fifteenth weary rank fertile,0
916,registration caspar,1
917,footeye,1
918,carbon,1
919,huygens to bigeneric,0
920,suffering fools,1
921,nerveless of frail cud,0
922,eagles in the storm,1
923,bitter remedy,1
924,sown arrange to groom,0
925,sovereign free cave in acidophilus probiotic,0
926,distance,1
927,the rabbits,1
928,spikenard beat for to to,0
929,knockout,1
930,the levant trilogy,1
931,all in the seasoning,1
932,the runestone incident,1
933,darkscapes,1
934,constancy leccinum to perception of pliability up to,0
935,pilewort occur to,0
936,the franciscan conspiracy,1
937,screwdriver,1
938,mwanza stick spread cover,0
939,moveable unsettled thing of,0
940,hate list,1
941,the penny ferry,1
942,cuban of rashly,0
943,notoriously through static,0
944,space platform,1
945,apocalypse reader,1
946,wicked witches of the west,1
947,the golden helix,1
948,callus chestnut poriferan with,0
949,riser,1
950,the ninth gland,1
951,unai overspend fluor,0
952,the romance of tristan and iseult,1
953,the round square chapati and other stories,1
954,enkidu declare assert to,0
955,leftmost rump cervix pylorus to,0
956,nsc observation mind recall resemble,0
957,circumnavigation in itinerate travel,0
958,flexure voltmeter at move proterochampsa flit,0
959,the risk pool,1
960,the armorer of tyre,1
961,victuals at to store scratchpad,0
962,marauder,1
963,a young macedonian in the army of alexander the great,1
964,fee with of,0
965,tentatively exhalation puffing,0
966,epitaph,1
967,xxxviii on of poplar to cottonwood,0
968,lowboy,1
969,mimamsa fundamentals verse,0
970,disavowal to seckel cap exporting magnitude,0
971,the pink lizard,1
972,the thing about jane spring,1
973,chipper blithe to,0
974,areolar precedentedly of sahaptin of,0
975,gavel to dissymmetry unsteadiness order on,0
976,property,1
977,watson nonmonotonic amount to make excrete sweat,0
978,pimozide chickenfeed panoptical to disposable,0
979,dishonourable intent,1
980,carousal down revel merrymaking celebration agon affair ceremony activity without play,0
